trait.name,T,trait,ref,trait2,trait2.name
c,18,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.86,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,30,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.92,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.69,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,25,0.3,Lambrects_et_al_2011_PNAS,NA,NA
c,28,0.52,Lambrects_et_al_2011_PNAS,NA,NA
c,30,0.93,Lambrects_et_al_2011_PNAS,NA,NA
c,28,1,Lambrects_et_al_2011_PNAS,NA,NA
c,25,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,14,0.12,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.45,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.81,Lambrects_et_al_2011_PNAS,NA,NA
b,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,30,0.85,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0.05,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.05,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.25,Lambrects_et_al_2011_PNAS,NA,NA
b,32,0.44,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.1,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.51,Lambrects_et_al_2011_PNAS,NA,NA
b,32,0.48,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.83,Lambrects_et_al_2011_PNAS,NA,NA
b,27,0.83,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.93,Lambrects_et_al_2011_PNAS,NA,NA
b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,10,0,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0.17,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.7,Lambrects_et_al_2011_PNAS,NA,NA
b,25,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,30,0.8,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.48,Lambrects_et_al_2011_PNAS,NA,NA
b,26,0.97,Lambrects_et_al_2011_PNAS,NA,NA
EIP,12.7926332,32.08600286,Focks_et_al_1995_AJTMH,NA,NA
EIP,13.0444544,25.01977202,Focks_et_al_1995_AJTMH,NA,NA
EIP,23.75322701,19.97458055,Focks_et_al_1995_AJTMH,NA,NA
EIP,23.89829743,13.33765053,Focks_et_al_1995_AJTMH,NA,NA
EIP,23.95725071,10.19770814,Focks_et_al_1995_AJTMH,NA,NA
EIP,30.04481175,12.0545853,Focks_et_al_1995_AJTMH,NA,NA
EIP,28.946104,4.932424425,Focks_et_al_1995_AJTMH,NA,NA
EIP,31.93480856,6.96737072,Focks_et_al_1995_AJTMH,NA,NA
EIP,34.37511156,4.941796485,Focks_et_al_1995_AJTMH,NA,NA
EIP,34.95802345,4.792448176,Focks_et_al_1995_AJTMH,NA,NA
EIP,30,25,Watts_et_al_1987_AJTMH,NA,NA
EIP,32,7,Watts_et_al_1987_AJTMH,NA,NA
EIP,35,7,Watts_et_al_1987_AJTMH,NA,NA
EIP,30,12,Watts_et_al_1987_AJTMH,NA,NA
c,20,0.25,Watts_et_al_1987_AJTMH,NA,NA
c,24,0.3913,Watts_et_al_1987_AJTMH,NA,NA
c,26,0.41667,Watts_et_al_1987_AJTMH,NA,NA
c,30,0.58333,Watts_et_al_1987_AJTMH,NA,NA
c,26,0.72,Watts_et_al_1987_AJTMH,NA,NA
c,30,0.8,Watts_et_al_1987_AJTMH,NA,NA
c,32,0.9,Watts_et_al_1987_AJTMH,NA,NA
c,35,0.93333,Watts_et_al_1987_AJTMH,NA,NA
b,26,0.3,Watts_et_al_1987_AJTMH,NA,NA
b,30,0.7,Watts_et_al_1987_AJTMH,NA,NA
b,32,0.6,Watts_et_al_1987_AJTMH,NA,NA
b,35,0.86667,Watts_et_al_1987_AJTMH,NA,NA
EIP,32.22,6,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,26.67,13,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,12.78,35,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,35,5.5,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,32.22,6,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,23.89,6,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,12.78,13,McLean_et_al_1974_CanJMicobiol,NA,NA
EIP,13,32,McLeah_et_al_1975_MosquitoNews,NA,NA
EIP,21,32,McLeah_et_al_1975_MosquitoNews,NA,NA
PDR,23.4,0.09091,Davis_1932_AmJEpidemiology,NA,NA
PDR,36,0.2,Davis_1932_AmJEpidemiology,NA,NA
PDR,8,0,Davis_1932_AmJEpidemiology,NA,NA
PDR,36,0.2,Davis_1932_AmJEpidemiology,NA,NA
PDR,31,0.16667,Davis_1932_AmJEpidemiology,NA,NA
PDR,21,0.05556,Davis_1932_AmJEpidemiology,NA,NA
GCR,21.68742415,0.167518059,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,22.2943022,0.144213433,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,22.38953929,0.168599215,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,22.92476429,0.168082804,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,24.39558634,0.25167012,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,25.01425641,0.251952493,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,25.87751143,0.202140476,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,26.16176525,0.202270215,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,27.47748918,0.307846963,Focks_et_al_1993a_JMedEntom,NA,NA
GCR,28.18628204,0.27698188,Focks_et_al_1993a_JMedEntom,NA,NA
MDR,12,0,Eisen_et_al_2014,NA,NA
MDR,39,0,Eisen_et_al_2014,NA,NA
c,20,0.781443299,Alto&Bettinardi_2013_AJTMH,NA,NA
c,20,0.725773196,Alto&Bettinardi_2013_AJTMH,NA,NA
c,30,0.641237113,Alto&Bettinardi_2013_AJTMH,NA,NA
c,30,0.655670103,Alto&Bettinardi_2013_AJTMH,NA,NA
c,25,0.727835052,Alto&Bettinardi_2013_AJTMH,NA,NA
b,20,0.06185567,Alto&Bettinardi_2013_AJTMH,NA,NA
b,20,0.037113402,Alto&Bettinardi_2013_AJTMH,NA,NA
b,30,0.760824742,Alto&Bettinardi_2013_AJTMH,NA,NA
b,30,0.962886598,Alto&Bettinardi_2013_AJTMH,NA,NA
b,25,0.672164948,Alto&Bettinardi_2013_AJTMH,NA,NA
GCR,16,0,Morin_et_al_2015,NA,NA
GCR,40,0,Morin_et_al_2015,NA,NA
1/mu,18,21.9,Beserra_2009,NA,NA
1/mu,22,27.52,Beserra_2009,NA,NA
1/mu,26,25.46,Beserra_2009,NA,NA
1/mu,28,13.81,Beserra_2009,NA,NA
1/mu,32,13.44,Beserra_2009,NA,NA
1/mu,34,13.48,Beserra_2009,NA,NA
1/mu,18,15.71,Beserra_2009,NA,NA
1/mu,22,27.3,Beserra_2009,NA,NA
1/mu,26,40.54,Beserra_2009,NA,NA
1/mu,28,21.44,Beserra_2009,NA,NA
1/mu,32,16.76,Beserra_2009,NA,NA
1/mu,34,12.16,Beserra_2009,NA,NA
1/mu,18,22.67,Beserra_2009,NA,NA
1/mu,22,24.74,Beserra_2009,NA,NA
1/mu,26,38.36,Beserra_2009,NA,NA
1/mu,28,22.36,Beserra_2009,NA,NA
1/mu,32,11.22,Beserra_2009,NA,NA
1/mu,34,10.92,Beserra_2009,NA,NA
EFD,18,2.141552511,Beserra_2009,NA,NA
EFD,22,2.449127907,Beserra_2009,NA,NA
EFD,26,23.98271799,Beserra_2009,NA,NA
EFD,28,4.822592324,Beserra_2009,NA,NA
EFD,32,3.764880952,Beserra_2009,NA,NA
EFD,34,7.262611276,Beserra_2009,NA,NA
EFD,18,0.248249523,Beserra_2009,NA,NA
EFD,22,4.318681319,Beserra_2009,NA,NA
EFD,26,2.205229403,Beserra_2009,NA,NA
EFD,28,3.922574627,Beserra_2009,NA,NA
EFD,32,0.799522673,Beserra_2009,NA,NA
EFD,34,0.279605263,Beserra_2009,NA,NA
EFD,18,3.074547861,Beserra_2009,NA,NA
EFD,22,0.598221504,Beserra_2009,NA,NA
EFD,26,5.596976017,Beserra_2009,NA,NA
EFD,28,17.40608229,Beserra_2009,NA,NA
EFD,32,2.254901961,Beserra_2009,NA,NA
EFD,34,0.164835165,Beserra_2009,NA,NA
pEA,1,0,Eisen_et_al_2014,NA,NA
pEA,7,0,Eisen_et_al_2014,NA,NA
pEA,36,0,Eisen_et_al_2014,NA,NA
pEA,38,0,Eisen_et_al_2014,NA,NA
pEA,9,0,Eisen_et_al_2014,NA,NA
pEA,10,0,Eisen_et_al_2014,NA,NA
pEA,11,0,Eisen_et_al_2014,NA,NA
pEA,12,0,Eisen_et_al_2014,NA,NA
pEA,13,0,Eisen_et_al_2014,NA,NA
pEA,38,0,Eisen_et_al_2014,NA,NA
pEA,40,0,Eisen_et_al_2014,NA,NA
pEA,43,0,Eisen_et_al_2014,NA,NA
pEA,46,0,Eisen_et_al_2014,NA,NA
pEA,49,0,Eisen_et_al_2014,NA,NA
pEA,52,0,Eisen_et_al_2014,NA,NA
pEA,7,0,Eisen_et_al_2014,NA,NA
pEA,9,0,Eisen_et_al_2014,NA,NA
pEA,10,0,Eisen_et_al_2014,NA,NA
pEA,11,0,Eisen_et_al_2014,NA,NA
pEA,12,0,Eisen_et_al_2014,NA,NA
pEA,38,0,Eisen_et_al_2014,NA,NA
pEA,43,0,Eisen_et_al_2014,NA,NA
pEA,44,0,Eisen_et_al_2014,NA,NA
pEA,45,0,Eisen_et_al_2014,NA,NA
pEA,46,0,Eisen_et_al_2014,NA,NA
pEA,47,0,Eisen_et_al_2014,NA,NA
pEA,48,0,Eisen_et_al_2014,NA,NA
pEA,49,0,Eisen_et_al_2014,NA,NA
pEA,52,0,Eisen_et_al_2014,NA,NA
c,16,0.0125,Carrington_et_al_2013_PNTD,NA,NA
b,16,0,Carrington_et_al_2013_PNTD,NA,NA
EIP,20,29.6,Carrington_et_al_2013_PNTD,NA,EIP50
EIP,26,11.1,Carrington_et_al_2013_PNTD,NA,EIP50
c,26,0.258,Carrington_et_al_2013_PNTD,NA,NA
c,20,0.184,Carrington_et_al_2013_PNTD,NA,NA
c,30,0.64,Carrington_et_al_2013_PNTD,NA,NA
c,35,0.52,Carrington_et_al_2013_PNTD,NA,NA
EIP,30,5.16,Carrington_et_al_2013_PNTD,NA,EIP50
EIP,35,5.16,Carrington_et_al_2013_PNTD,NA,EIP50
